iter	Passed	Remaining
0	1	192
1	3	166
2	4	149
3	5	134
4	6	128
5	7	122
6	8	119
7	10	116
8	11	115
9	12	115
10	13	113
11	15	112
12	16	110
13	17	109
14	19	107
15	20	109
16	22	107
17	23	106
18	24	105
19	26	105
20	27	104
21	29	104
22	31	104
23	32	103
24	33	101
25	34	99
26	36	97
27	37	95
28	38	94
29	39	92
30	40	90
31	41	88
32	42	86
33	43	85
34	45	83
35	46	82
36	47	80
37	48	79
38	49	77
39	50	76
40	51	74
41	52	72
42	53	70
43	54	69
44	55	67
45	56	66
46	57	65
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	74	45
62	75	44
63	76	43
64	77	41
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	86	32
73	87	30
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	20
83	98	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
