iter	Passed	Remaining
0	151	151567
1	152	76134
2	153	50905
3	153	38268
4	154	30690
5	155	25746
6	155	22128
7	156	19416
8	157	17309
9	157	15628
10	158	14291
11	159	13132
12	160	12159
13	161	11349
14	161	10632
15	162	10013
16	163	9471
17	164	8963
18	165	8530
19	165	8124
20	166	7762
21	167	7438
22	168	7137
23	168	6855
24	169	6592
25	169	6362
26	170	6143
27	171	5937
28	171	5744
29	172	5565
30	172	5398
31	173	5243
32	173	5097
33	174	4960
34	175	4833
35	176	4718
36	177	4607
37	177	4497
38	178	4393
39	178	4292
40	179	4199
41	180	4107
42	180	4020
43	181	3936
44	181	3860
45	182	3783
46	182	3709
47	183	3638
48	184	3571
49	184	3506
50	185	3443
51	185	3382
52	186	3324
53	186	3272
54	187	3221
55	188	3173
56	188	3123
57	189	3074
58	189	3028
59	190	2982
60	190	2938
61	191	2894
62	192	2856
63	192	2816
64	193	2778
65	193	2741
66	194	2706
67	194	2671
68	195	2636
69	195	2603
70	196	2571
71	197	2540
72	197	2509
73	198	2480
74	198	2451
75	199	2422
76	199	2393
77	200	2366
78	200	2340
79	201	2314
80	201	2290
81	202	2268
82	202	2241
83	203	2218
84	203	2195
85	204	2172
86	204	2151
87	205	2130
88	206	2109
89	206	2088
90	207	2068
91	207	2049
92	208	2030
93	208	2011
94	209	1993
95	209	1975
96	210	1958
97	210	1941
98	211	1924
99	211	1907
100	212	1890
101	212	1875
102	213	1860
103	214	1845
104	214	1831
105	215	1817
106	216	1803
107	216	1791
108	217	1777
109	218	1764
110	218	1752
111	219	1739
112	219	1726
113	220	1713
114	220	1700
115	221	1688
116	221	1674
117	222	1662
118	222	1650
119	223	1638
120	223	1627
121	224	1614
122	224	1603
123	225	1592
124	225	1581
125	226	1571
126	226	1559
127	227	1549
128	227	1539
129	228	1529
130	228	1518
131	229	1509
132	229	1499
133	230	1489
134	231	1481
135	231	1472
136	232	1463
137	233	1455
138	233	1447
139	234	1438
140	234	1429
141	235	1420
142	235	1411
143	236	1403
144	236	1395
145	237	1387
146	237	1379
147	238	1371
148	238	1363
149	239	1355
150	239	1347
151	240	1340
152	240	1333
153	241	1325
154	241	1318
155	242	1311
156	242	1303
157	243	1296
158	243	1289
159	244	1283
160	244	1275
161	245	1269
162	245	1262
163	246	1256
164	247	1250
165	247	1244
166	248	1237
167	248	1231
168	249	1225
169	249	1219
170	250	1213
171	250	1207
172	251	1201
173	251	1195
174	252	1190
175	253	1184
176	253	1179
177	254	1173
178	254	1167
179	255	1162
180	255	1157
181	256	1151
182	256	1146
183	257	1141
184	257	1135
185	258	1130
186	258	1125
187	259	1120
188	260	1116
189	260	1111
190	261	1106
191	261	1102
192	262	1097
193	263	1093
194	263	1088
195	264	1083
196	264	1079
197	265	1074
198	265	1070
199	266	1065
200	266	1061
201	267	1056
202	268	1052
203	268	1048
204	269	1044
205	269	1039
206	270	1035
207	270	1031
208	271	1026
209	271	1022
210	272	1018
211	272	1014
212	273	1010
213	274	1007
214	274	1003
215	275	999
216	275	995
217	276	992
218	277	988
219	277	984
220	278	981
221	278	977
222	279	973
223	280	970
224	280	966
225	281	962
226	281	959
227	282	955
228	282	952
229	283	948
230	283	945
231	284	941
232	285	938
233	285	935
234	286	931
235	286	928
236	287	924
237	287	921
238	288	918
239	289	915
240	289	912
241	290	908
242	290	905
243	291	902
244	291	899
245	292	896
246	293	893
247	293	890
248	294	887
249	294	884
250	295	881
251	296	878
252	296	875
253	297	872
254	297	869
255	298	866
256	298	863
257	299	861
258	300	858
259	300	855
260	301	852
261	301	849
262	302	847
263	302	844
264	303	842
265	304	839
266	304	837
267	305	834
268	306	831
269	306	829
270	307	827
271	308	824
272	308	822
273	309	819
274	309	816
275	310	814
276	310	811
277	311	809
278	312	806
279	312	803
280	313	801
281	313	798
282	314	796
283	314	793
284	315	791
285	315	788
286	316	786
287	317	784
288	317	781
289	318	779
290	318	776
291	319	774
292	319	772
293	320	769
294	321	767
295	321	765
296	322	763
297	323	761
298	323	758
299	324	756
300	324	754
301	325	752
302	325	749
303	326	747
304	327	745
305	327	743
306	328	740
307	328	738
308	329	736
309	329	734
310	330	731
311	330	729
312	331	728
313	332	726
314	333	724
315	334	722
316	334	720
317	335	718
318	335	716
319	336	714
320	336	712
321	337	710
322	338	708
323	338	706
324	339	704
325	339	702
326	340	700
327	341	698
328	341	696
329	342	694
330	342	693
331	343	691
332	344	689
333	344	687
334	345	685
335	345	683
336	346	681
337	347	680
338	347	678
339	348	676
340	349	674
341	349	673
342	350	671
343	351	669
344	352	668
345	352	666
346	353	664
347	353	663
348	354	661
349	355	659
350	355	657
351	356	655
352	356	653
353	357	652
354	357	650
355	358	648
356	359	646
357	359	645
358	360	643
359	360	641
360	361	639
361	361	637
362	362	636
363	363	634
364	363	632
365	364	631
366	364	629
367	365	627
368	365	625
369	366	624
370	367	622
371	368	621
372	368	619
373	369	617
374	369	616
375	370	614
376	370	612
377	371	611
378	371	609
379	372	607
380	373	606
381	373	604
382	374	603
383	374	601
384	375	599
385	376	598
386	376	596
387	377	594
388	377	593
389	378	591
390	378	590
391	379	588
392	379	586
393	380	585
394	380	583
395	381	582
396	382	580
397	382	579
398	383	577
399	384	576
400	384	574
401	385	573
402	386	572
403	386	570
404	387	569
405	388	567
406	388	566
407	389	565
408	390	563
409	390	562
410	391	560
411	391	559
412	392	557
413	392	556
414	393	554
415	393	553
416	394	551
417	395	550
418	395	548
419	396	547
420	396	545
421	397	544
422	398	543
423	398	541
424	399	540
425	399	538
426	400	537
427	401	535
428	401	534
429	402	533
430	402	531
431	403	530
432	403	528
433	404	527
434	405	526
435	405	524
436	406	523
437	406	521
438	407	520
439	407	519
440	408	517
441	408	516
442	409	514
443	410	513
444	410	512
445	411	510
446	411	509
447	412	508
448	413	506
449	413	505
450	414	504
451	414	503
452	415	501
453	416	500
454	416	499
455	417	497
456	417	496
457	418	495
458	418	493
459	419	492
460	419	491
461	420	489
462	421	488
463	421	487
464	422	485
465	422	484
466	423	483
467	423	481
468	424	480
469	424	479
470	425	477
471	426	476
472	426	475
473	427	474
474	427	472
475	428	471
476	429	470
